idx,label,text
0,0,@USER Maandagmorgen en extra druk😣Dat is nu voordeel van niet meer werken op maandag al dit nieuws lezen!
1,0,@USER Echt...zweet en shag..en dat een hele dag😡Je zal ermee op kantoor zitten😝
2,0,@USER @USER @USER D66Pechtold zei 1e BELANGRIJKSTE!poging😂dream on Pechtold gelul id ruimte! PVV id 2e grtste!wat e kleuterklasje.pesten uitsluiten z nie 2017
3,0,@USER heeft mijn pakket om 17.02 bezorgd alleen niet bij mij😡leuk vakantiekrachten nu moet ik wachten!waar is mijn pakje
4,0,"HTTP Ik moest lachen😂De reden dat ik niks met Maduro had in,1 bericht #Amsterdamsearrogantie#Nikslatenzien #bestemaarweer"
5,0,"@USER ZWARTgallig🤔er zijn ook nog andere kleuren hoor.
paars groen blauw"
6,0,@USER Sterkte😱normaal een thuiswerkdag op vrijdag maar vandaag een telco in Utrecht🤔weer zo’n dag dat een trein uitvalt en het zeer koud is op het station😱nu weer warm in een trein
7,0,Duizenden afgewezen asielzoekers toch in Nederland HTTP Ja Rutte😁justitie&amp;immigratiedienst  waar???
8,0,Voor die duizenden😏mensen op het #malieveld ook dit is #Islam HTTP
9,0,@USER @USER @USER @USER @USER U😂beiden snapt dan niks van 'gevoel'. -- niks 'ratio' - het gaat juist om die 'grens' in dat gevoelsgebied op het gebied van omgang en sex.
